End_Date,ISBN,Title,Author,Interval,Volume,Value,ASP,RRP,Binding,Imprint,Publisher_Group,Product_Class,Category
2012-05-26,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201221,483,2658.25,5.5036,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-05-26,9780722532935,The Alchemist,"Coelho, Paulo",201221,504,3492.31,6.9292,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-06-02,9780722532935,The Alchemist,"Coelho, Paulo",201222,522,3605.75,6.9076,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-06-02,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201222,590,3186.12,5.4002,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-06-09,9780722532935,The Alchemist,"Coelho, Paulo",201223,476,3195.58,6.7134,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-06-09,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201223,633,3529.63,5.576,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-06-16,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201224,653,3601.73,5.5157,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-06-16,9780722532935,The Alchemist,"Coelho, Paulo",201224,605,4200.06,6.9422,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-06-23,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201225,623,3481.69,5.5886,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-06-23,9780722532935,The Alchemist,"Coelho, Paulo",201225,540,3689.95,6.8332,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-06-30,9780722532935,The Alchemist,"Coelho, Paulo",201226,496,3452.99,6.9617,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-06-30,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201226,647,3613.72,5.5853,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
